Ops.curvature_boundary	Analysis_ops.curvature_boundary
Ops.Curvature_boundary_zero	Analysis_ops.Curvature_boundary_zero
Ops.Curvature_boundary_one_sided	Analysis_ops.Curvature_boundary_one_sided
Ops.curvature_outputs	Analysis_ops.curvature_outputs
Ops.default_curvature_outputs	Analysis_ops.default_curvature_outputs
Ops.measure_curvature	Analysis_ops.measure_curvature
Ops.laplacian_weighting	Analysis_ops.laplacian_weighting
Ops.Laplacian_cotan	Analysis_ops.Laplacian_cotan
Ops.Laplacian_positive_cotan	Analysis_ops.Laplacian_positive_cotan
Ops.Laplacian_uniform	Analysis_ops.Laplacian_uniform
Ops.attribute_laplacian	Analysis_ops.attribute_laplacian
Ops.polyframe_style	Analysis_ops.polyframe_style
Ops.First_edge	Analysis_ops.First_edge
Ops.Two_edges	Analysis_ops.Two_edges
Ops.Primitive_centroid	Analysis_ops.Primitive_centroid
Ops.Texture_uv	Analysis_ops.Texture_uv
Ops.Texture_uv_gradient	Analysis_ops.Texture_uv_gradient
Ops.Attribute_gradient	Analysis_ops.Attribute_gradient
Ops.polyframe	Analysis_ops.polyframe
