# Former qualified Ops path<TAB>checked edge-modeling family path.
Ops.edge_equalize_method	Edge_modeling_ops.equalize_method
Ops.edge_relax_selection	Edge_modeling_ops.relax_selection
Ops.edge_relax_target_mode	Edge_modeling_ops.relax_target_mode
Ops.Equalize_*	Edge_modeling_ops.Equalize_
Ops.Relax_*	Edge_modeling_ops.Relax_
Ops.Individual_lengths	Edge_modeling_ops.Individual_lengths
Ops.Scale_independent_distribution	Edge_modeling_ops.Scale_independent_distribution
Ops.edge_cusp	Edge_modeling_ops.edge_cusp_checked
Ops.edge_straighten	Edge_modeling_ops.edge_straighten_checked
Ops.circle_from_edges	Edge_modeling_ops.circle_from_edges_checked
Ops.edge_equalize	Edge_modeling_ops.edge_equalize_checked
Ops.edge_relax	Edge_modeling_ops.edge_relax_checked
Ops.edge_divide	Edge_modeling_ops.edge_divide_checked
