Ops.polyline	Line_geometry.polyline_checked
Ops.line	Line_geometry.line_checked
Ops.spiral	Spiral.run
Ops.merge	Mesh_merge.run
Ops.sort	Ordering.sort_checked
Ops.match_size	Match_size.run_checked
Ops.copy_to_points	Instance_copy.copy_to_points
Ops.materialize_instances	Instance_copy.materialize_instances
Ops.duplicate	Instance_copy.duplicate
Ops.soft_transform	Transform_ops.soft_transform
Ops.poly_reduce	Poly_reduce.run_checked
Ops.edge_flip	Edge_flip.run_checked
Ops.edge_collapse	Edge_collapse.run
Ops.dissolve	Dissolve.run_checked
