# Former qualified Ops path<TAB>family path; * means constructor prefix.
Ops.transform_order	Transform_ops.transform_order
Ops.deform_selection	Transform_ops.deform_selection
Ops.transform_rotation_order	Transform_ops.transform_rotation_order
Ops.soft_transform_metric	Transform_ops.soft_transform_metric
Ops.soft_transform_falloff	Transform_ops.soft_transform_falloff
Ops.distance_along_radius	Transform_ops.distance_along_radius
Ops.distance_from_geometry_reference	Transform_ops.distance_from_geometry_reference
Ops.distance_from_target_projection	Transform_ops.distance_from_target_projection
Ops.distance_from_target_metric	Transform_ops.distance_from_target_metric
Ops.Transform_*	Transform_ops.Transform_
Ops.Selected_*	Transform_ops.Selected_
Ops.Soft_*	Transform_ops.Soft_
Ops.Distance_*	Transform_ops.Distance_
Ops.compose_transform	Transform_ops.compose_transform
Ops.transform_selected	Transform_ops.transform_selected
Ops.soft_transform	Transform_ops.soft_transform
Ops.distance_along_geometry	Transform_ops.distance_along_geometry
Ops.distance_from_geometry	Transform_ops.distance_from_geometry
Ops.distance_from_target	Transform_ops.distance_from_target
Ops.transform	Transform_ops.transform
